"virus","animal","cors","corsCI1","corsCI2","pval","commonName","bootCI1","bootCI2"
"SARS-CoV-2","Elopichthys.bambusa",-0.189798938239599,-0.544123094270724,0.221979399980946,0.363504062629187,"Yellowcheek carp",-0.37775543249316,0
"Influenza A virus H3N2","Elopichthys.bambusa",-0.0734826535817814,-0.45539114877513,0.331266661123017,0.727032608030354,"Yellowcheek carp",-0.159315022631243,0
"Bamboo rat coronavirus","Elopichthys.bambusa",0.231861885301439,-0.17973563673755,0.574371300658721,0.264747516835292,"Yellowcheek carp",-0.198714338897416,0.731092432068457
"Raccoon dog amdovirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp",0,0
"Civet kobuvirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp",0,0
"SARS-CoV-2","Aix.galericulata",-0.113073858351296,-0.48646978559388,0.295248438080675,0.590469657195155,"Mandarin duck",-0.247715944606476,0
"Influenza A virus H3N2","Aix.galericulata",-0.0416666666666667,-0.429722702202072,0.359381004571966,0.843238385398005,"Mandarin duck",-0.108893101296094,0
"Bamboo rat coronavirus","Aix.galericulata",0.453231891027862,0.0707759727749054,0.719508877344024,0.0228860058673646,"Mandarin duck",0,0.908451228388449
"Raccoon dog amdovirus","Aix.galericulata",NA,NA,NA,NA,"Mandarin duck",0,0
"Civet kobuvirus","Aix.galericulata",NA,NA,NA,NA,"Mandarin duck",0,0
"SARS-CoV-2","Harpadon.nehereus",-0.131508403716889,-0.500625293460027,0.278071957567055,0.530915482283968,"Bombay duck fish",-0.331154050509346,0.0880052276450955
"Influenza A virus H3N2","Harpadon.nehereus",-0.0997113875059647,-0.476084989874595,0.307536143192755,0.635344828527169,"Bombay duck fish",-0.21537017179201,0
"Bamboo rat coronavirus","Harpadon.nehereus",-0.0817247219718411,-0.461938712982237,0.323864393764443,0.697753847547566,"Bombay duck fish",-0.295584547388628,0.331135119419765
"Raccoon dog amdovirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish",0,0
"Civet kobuvirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish",0,0
"SARS-CoV-2","Channa.argus",-0.28133868941105,-0.608792769118824,0.128024084726776,0.173077445943731,"Northern snakehead",-0.540052541915437,0.161715545534619
"Influenza A virus H3N2","Channa.argus",0.107790868003914,-0.300122707839602,0.482376621657297,0.608049009294455,"Northern snakehead",0,0.281828448264119
"Bamboo rat coronavirus","Channa.argus",0.267347534059035,-0.142876442212134,0.599182435281934,0.196367377668168,"Northern snakehead",-0.0534843472095655,0.601939430578756
"Raccoon dog amdovirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead",0,0
"Civet kobuvirus","Channa.argus",NA,NA,NA,NA,"Northern snakehead",0,0
"SARS-CoV-2","Hystrix.brachyura",NA,NA,NA,NA,"Malayan porcupine",0,0
"Influenza A virus H3N2","Hystrix.brachyura",NA,NA,NA,NA,"Malayan porcupine",0,0
"Bamboo rat coronavirus","Hystrix.brachyura",NA,NA,NA,NA,"Malayan porcupine",0,0
"Raccoon dog amdovirus","Hystrix.brachyura",NA,NA,NA,NA,"Malayan porcupine",0,0
"Civet kobuvirus","Hystrix.brachyura",NA,NA,NA,NA,"Malayan porcupine",0,0
"SARS-CoV-2","Capra.hircus",-0.0776095246641837,-0.458674739982436,0.32756650267174,0.712323036784341,"Goat",-0.304649211747742,0.250195358222455
"Influenza A virus H3N2","Capra.hircus",-0.126210731791162,-0.496577433198736,0.283035057323338,0.54773476626974,"Goat",-0.250314548516924,0
"Bamboo rat coronavirus","Capra.hircus",0.438185868260091,0.052070495486558,0.710329726924666,0.0284578856847099,"Goat",-0.0993020370313373,0.817594512858372
"Raccoon dog amdovirus","Capra.hircus",NA,NA,NA,NA,"Goat",0,0
"Civet kobuvirus","Capra.hircus",NA,NA,NA,NA,"Goat",0,0
"SARS-CoV-2","Accipiter.gularis",NA,NA,NA,NA,"Japanese sparrowhawk",0,0
"Influenza A virus H3N2","Accipiter.gularis",NA,NA,NA,NA,"Japanese sparrowhawk",0,0
"Bamboo rat coronavirus","Accipiter.gularis",NA,NA,NA,NA,"Japanese sparrowhawk",0,0
"Raccoon dog amdovirus","Accipiter.gularis",NA,NA,NA,NA,"Japanese sparrowhawk",0,0
"Civet kobuvirus","Accipiter.gularis",NA,NA,NA,NA,"Japanese sparrowhawk",0,0
"SARS-CoV-2","Uranoscopus.tosae",-0.0610966520431857,-0.445473301856639,0.34229771579363,0.771728538749931,"Stargazer fish",-0.333405089541867,0.281801864976814
"Influenza A virus H3N2","Uranoscopus.tosae",0.106400449249458,-0.301402025147838,0.481296624715424,0.612711583672092,"Stargazer fish",0,0.295667541277609
"Bamboo rat coronavirus","Uranoscopus.tosae",0.0200282932429789,-0.378094770980391,0.411899502750102,0.924295909199641,"Stargazer fish",-0.297338770424294,0.613355965670489
"Raccoon dog amdovirus","Uranoscopus.tosae",NA,NA,NA,NA,"Stargazer fish",0,0
"Civet kobuvirus","Uranoscopus.tosae",NA,NA,NA,NA,"Stargazer fish",0,0
"SARS-CoV-2","Erinaceus.amurensis",NA,NA,NA,NA,"Amur hedgehog",0,0
"Influenza A virus H3N2","Erinaceus.amurensis",NA,NA,NA,NA,"Amur hedgehog",0,0
"Bamboo rat coronavirus","Erinaceus.amurensis",NA,NA,NA,NA,"Amur hedgehog",0,0
"Raccoon dog amdovirus","Erinaceus.amurensis",NA,NA,NA,NA,"Amur hedgehog",0,0
"Civet kobuvirus","Erinaceus.amurensis",NA,NA,NA,NA,"Amur hedgehog",0,0
"SARS-CoV-2","Columba.janthina",NA,NA,NA,NA,"Japanese wood-pigeon",0,0
"Influenza A virus H3N2","Columba.janthina",NA,NA,NA,NA,"Japanese wood-pigeon",0,0
"Bamboo rat coronavirus","Columba.janthina",NA,NA,NA,NA,"Japanese wood-pigeon",0,0
"Raccoon dog amdovirus","Columba.janthina",NA,NA,NA,NA,"Japanese wood-pigeon",0,0
"Civet kobuvirus","Columba.janthina",NA,NA,NA,NA,"Japanese wood-pigeon",0,0
"SARS-CoV-2","Channa.lucius",-0.159739719811765,-0.521927544145631,0.25124957448514,0.445626902793169,"Forest snakehead",-0.33885145581051,0
"Influenza A virus H3N2","Channa.lucius",-0.0416666666666667,-0.429722702202072,0.359381004571966,0.843238385398005,"Forest snakehead",-0.108893101296094,0
"Bamboo rat coronavirus","Channa.lucius",-0.0965834067425319,-0.473638786665291,0.310393049378661,0.64604044890278,"Forest snakehead",-0.195168553929726,0
"Raccoon dog amdovirus","Channa.lucius",NA,NA,NA,NA,"Forest snakehead",0,0
"Civet kobuvirus","Channa.lucius",NA,NA,NA,NA,"Forest snakehead",0,0
"SARS-CoV-2","Melogale.moschata",NA,NA,NA,NA,"Chinese ferret-badger",0,0
"Influenza A virus H3N2","Melogale.moschata",NA,NA,NA,NA,"Chinese ferret-badger",0,0
"Bamboo rat coronavirus","Melogale.moschata",NA,NA,NA,NA,"Chinese ferret-badger",0,0
"Raccoon dog amdovirus","Melogale.moschata",NA,NA,NA,NA,"Chinese ferret-badger",0,0
"Civet kobuvirus","Melogale.moschata",NA,NA,NA,NA,"Chinese ferret-badger",0,0
"SARS-CoV-2","Equus.caballus",-0.0239252663769985,-0.415131671390251,0.374748357965679,0.909620047779036,"Horse",-0.161665812552788,0.177651853533187
"Influenza A virus H3N2","Equus.caballus",-0.0751267115263359,-0.456700508205749,0.329794086795588,0.721161038730929,"Horse",-0.16065248956066,0
"Bamboo rat coronavirus","Equus.caballus",0.262654439406731,-0.147817372709251,0.595937251144455,0.204637522478112,"Horse",-0.106711854213547,0.844480834750462
"Raccoon dog amdovirus","Equus.caballus",NA,NA,NA,NA,"Horse",0,0
"Civet kobuvirus","Equus.caballus",NA,NA,NA,NA,"Horse",0,0
