"virus","animal","cors","corsCI1","corsCI2","pval","commonName"
"Human adenovirus type 1","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Human astrovirus","Elopichthys.bambusa",NA,NA,NA,NA,"Yellowcheek carp"
"Human herpesvirus 1","Elopichthys.bambusa",-0.0419225892802256,-0.241425740453987,0.160980575223662,0.686669445196308,"Yellowcheek carp"
"Human herpesvirus 4","Elopichthys.bambusa",0.361574301810245,0.172609853633056,0.524868673359842,0.00031804187747923,"Yellowcheek carp"
"Human orthopneumovirus B","Elopichthys.bambusa",-0.0182308586584299,-0.218969305957212,0.183988176150273,0.860800972708641,"Yellowcheek carp"
"Human papillomavirus 1","Elopichthys.bambusa",-0.0182308586584299,-0.218969305957212,0.183988176150273,0.860800972708641,"Yellowcheek carp"
"Human papillomavirus type 41","Elopichthys.bambusa",-0.0464385199586714,-0.245682099675733,0.156569880423619,0.65496463643293,"Yellowcheek carp"
"Influenza A virus H3N2","Elopichthys.bambusa",-0.0182308586584299,-0.218969305957212,0.183988176150273,0.860800972708641,"Yellowcheek carp"
"Influenza A virus H5N1","Elopichthys.bambusa",-0.0182308586584299,-0.218969305957212,0.183988176150273,0.860800972708641,"Yellowcheek carp"
"Influenza A virus H7N9, segment 1","Elopichthys.bambusa",-0.0315371424174468,-0.231608027505555,0.17109334906651,0.761590938601281,"Yellowcheek carp"
"Influenza A virus H7N9, segment 2","Elopichthys.bambusa",-0.0254500336745301,-0.22583467191519,0.177000859311943,0.806601956619716,"Yellowcheek carp"
"Influenza A virus H7N9, segment 3","Elopichthys.bambusa",-0.0182308586584299,-0.218969305957212,0.183988176150273,0.860800972708641,"Yellowcheek carp"
"Influenza A virus H7N9, segment 5","Elopichthys.bambusa",-0.0258761320477572,-0.226239266229601,0.176587807137103,0.803428699008096,"Yellowcheek carp"
"Influenza A virus H9N2 (HA)","Elopichthys.bambusa",-0.0182308586584299,-0.218969305957212,0.183988176150273,0.860800972708641,"Yellowcheek carp"
"Influenza A virus H9N2 segment 5","Elopichthys.bambusa",-0.0182308586584299,-0.218969305957212,0.183988176150273,0.860800972708641,"Yellowcheek carp"
"Parvovirus NIH-CQV","Elopichthys.bambusa",0.170222887136562,-0.0324327991151347,0.359434684526406,0.0991018400046667,"Yellowcheek carp"
"Bamboo rat circovirus","Elopichthys.bambusa",-0.0405443996966545,-0.240125237347237,0.162325036306044,0.696457472241324,"Yellowcheek carp"
"Bamboo rat coronavirus","Elopichthys.bambusa",0.0391358827780534,-0.163698304664734,0.238795375764597,0.706512516987221,"Yellowcheek carp"
"Betacoronavirus HKU24","Elopichthys.bambusa",-0.0182308586584299,-0.218969305957212,0.183988176150273,0.860800972708641,"Yellowcheek carp"
"Cadicivirus B","Elopichthys.bambusa",-0.0552590068017469,-0.253973493815775,0.147931523062326,0.594812748531002,"Yellowcheek carp"
"Canine coronavirus HeB-G1","Elopichthys.bambusa",0.0530871473241808,-0.150061417973451,0.251934619021832,0.609392950124711,"Yellowcheek carp"
"Canine coronavirus SD-F3","Elopichthys.bambusa",-0.0511277348515034,-0.25009366698686,0.151981354172034,0.622679402853099,"Yellowcheek carp"
"Canine kobuvirus JX-MO1","Elopichthys.bambusa",-0.127266104130413,-0.320586205034581,0.0762322281895584,0.219064361126937,"Yellowcheek carp"
"Canine kobuvirus SMCD-59","Elopichthys.bambusa",-0.134556908115453,-0.32722587502974,0.0688533323405507,0.193581218297473,"Yellowcheek carp"
"Canine parvovirus","Elopichthys.bambusa",-0.143825475598731,-0.335639299588031,0.0594405349780039,0.16437084363989,"Yellowcheek carp"
"Civet astrovirus","Elopichthys.bambusa",-0.0348479032364785,-0.234742232768106,0.167874142495286,0.737428391311571,"Yellowcheek carp"
"Civet kobuvirus","Elopichthys.bambusa",-0.0631099850955311,-0.261329049291936,0.140216487827733,0.543464035493777,"Yellowcheek carp"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Elopichthys.bambusa",-0.0330018212735041,-0.232995110761337,0.16966970719551,0.750871656635155,"Yellowcheek carp"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Elopichthys.bambusa",-0.0378560564574201,-0.237586368603234,0.164945421670487,0.715692827143646,"Yellowcheek carp"
"European hedgehog papillomavirus","Elopichthys.bambusa",-0.0809383706203991,-0.277947343855136,0.122604631779418,0.435551812507713,"Yellowcheek carp"
"Hedgehog bocavirus","Elopichthys.bambusa",-0.109311690503498,-0.304153880965807,0.0943090392511195,0.291655062901175,"Yellowcheek carp"
"Hedgehog chapparvovirus 6","Elopichthys.bambusa",-0.0707870765485404,-0.268499497485526,0.132648376794299,0.495448131388242,"Yellowcheek carp"
"Hedgehog dicipivirus 2","Elopichthys.bambusa",-0.0567225767059395,-0.255346452858847,0.146495168394537,0.585076772799385,"Yellowcheek carp"
"Lucheng Rn rat coronavirus","Elopichthys.bambusa",-0.0256943036769586,-0.22606662271217,0.176764077044337,0.804782432216432,"Yellowcheek carp"
"Lupine bocavirus isolate South Douro","Elopichthys.bambusa",-0.0797780197364876,-0.276869327016931,0.123754803538777,0.442182936421092,"Yellowcheek carp"
"Marmot kobuvirus","Elopichthys.bambusa",0.0112289377928999,-0.190745748230877,0.212291504613785,0.913995167114875,"Yellowcheek carp"
"Myocastor coypus polyomavirus 1","Elopichthys.bambusa",-0.0485672264428973,-0.247685789289718,0.1544879679132,0.640225103187143,"Yellowcheek carp"
"Raccoon dog amdovirus","Elopichthys.bambusa",-0.142780498682933,-0.334692263230644,0.0605035839893859,0.167490474927636,"Yellowcheek carp"
"Rodent papillomavirus","Elopichthys.bambusa",-0.0564369384714109,-0.255078561628975,0.146775562472384,0.586971167725438,"Yellowcheek carp"
"Skunk adenovirus PB1","Elopichthys.bambusa",-0.136484368804684,-0.328978022378649,0.0668988561499631,0.187217464436081,"Yellowcheek carp"
"SARS-CoV-2","Elopichthys.bambusa",0.155313035747769,-0.0477238346229904,0.346024688955098,0.132864842150649,"Yellowcheek carp"
"Human adenovirus type 1","Aix.galericulata",NA,NA,NA,NA,"Mandarin duck"
"Human astrovirus","Aix.galericulata",NA,NA,NA,NA,"Mandarin duck"
"Human herpesvirus 1","Aix.galericulata",-0.0492838354433806,-0.248359929534239,0.153786705722972,0.635294064921061,"Mandarin duck"
"Human herpesvirus 4","Aix.galericulata",-0.0400541634169807,-0.239662462143993,0.162803093454132,0.699951300874234,"Mandarin duck"
"Human orthopneumovirus B","Aix.galericulata",-0.0214320406620828,-0.222016053893243,0.180892326419269,0.836672204464795,"Mandarin duck"
"Human papillomavirus 1","Aix.galericulata",-0.0214320406620828,-0.222016053893243,0.180892326419269,0.836672204464795,"Mandarin duck"
"Human papillomavirus type 41","Aix.galericulata",0.370579160864657,0.182680099377346,0.532361355199995,0.000218445415251509,"Mandarin duck"
"Influenza A virus H3N2","Aix.galericulata",-0.0214320406620828,-0.222016053893243,0.180892326419269,0.836672204464795,"Mandarin duck"
"Influenza A virus H5N1","Aix.galericulata",-0.0214320406620828,-0.222016053893243,0.180892326419269,0.836672204464795,"Mandarin duck"
"Influenza A virus H7N9, segment 1","Aix.galericulata",-0.0370747934214321,-0.236848032435654,0.16570639886095,0.721316941830615,"Mandarin duck"
"Influenza A virus H7N9, segment 2","Aix.galericulata",-0.0299188407295173,-0.230074513473935,0.172665326312276,0.773486990871886,"Mandarin duck"
"Influenza A virus H7N9, segment 3","Aix.galericulata",-0.0214320406620828,-0.222016053893243,0.180892326419269,0.836672204464795,"Mandarin duck"
"Influenza A virus H7N9, segment 5","Aix.galericulata",-0.0304197583128384,-0.230549292735186,0.172178857920913,0.769799031266777,"Mandarin duck"
"Influenza A virus H9N2 (HA)","Aix.galericulata",-0.0214320406620828,-0.222016053893243,0.180892326419269,0.836672204464795,"Mandarin duck"
"Influenza A virus H9N2 segment 5","Aix.galericulata",0.404658169005625,0.221151390452876,0.560489851838485,4.75607944368566e-05,"Mandarin duck"
"Parvovirus NIH-CQV","Aix.galericulata",-0.0611435030533215,-0.259488817238856,0.142151239807266,0.556119627796577,"Mandarin duck"
"Bamboo rat circovirus","Aix.galericulata",0.114101456537676,-0.089499717007226,0.308548963073087,0.270896156926495,"Mandarin duck"
"Bamboo rat coronavirus","Aix.galericulata",0.116524365309232,-0.087063294177591,0.31076906280501,0.260784200756798,"Mandarin duck"
"Betacoronavirus HKU24","Aix.galericulata",-0.0214320406620828,-0.222016053893243,0.180892326419269,0.836672204464795,"Mandarin duck"
"Cadicivirus B","Aix.galericulata",-0.064962013194794,-0.263060858886222,0.138392922110589,0.531675446836478,"Mandarin duck"
"Canine coronavirus HeB-G1","Aix.galericulata",0.162097318939437,-0.0407778841227931,0.352136184013825,0.116551910062428,"Mandarin duck"
"Canine coronavirus SD-F3","Aix.galericulata",0.114709778482264,-0.0888882310847622,0.309106564810035,0.268332833992778,"Mandarin duck"
"Canine kobuvirus JX-MO1","Aix.galericulata",-0.0178660403431377,-0.218621838857162,0.184340735932808,0.863559343151848,"Mandarin duck"
"Canine kobuvirus SMCD-59","Aix.galericulata",-0.0213010364221265,-0.221891446489505,0.181019098804577,0.837656841507706,"Mandarin duck"
"Canine parvovirus","Aix.galericulata",-0.0687737030832559,-0.266621112140812,0.134635466797421,0.507821280998052,"Mandarin duck"
"Civet astrovirus","Aix.galericulata",-0.0409668953693076,-0.240523993735723,0.161912960438367,0.693451490409892,"Mandarin duck"
"Civet kobuvirus","Aix.galericulata",0.0420461897402194,-0.160859962836624,0.241542338736323,0.685794114831784,"Mandarin duck"
"Erinaceus hedgehog coronavirus HKU31 isolate HeB-MO1","Aix.galericulata",-0.0387966572890672,-0.238474981587759,0.164028923515337,0.708941788239415,"Mandarin duck"
"Erinaceus hedgehog coronavirus HKU31 isolate HeN-F3","Aix.galericulata",-0.0445032544271506,-0.24385901166141,0.158461039973536,0.66848071454775,"Mandarin duck"
"European hedgehog papillomavirus","Aix.galericulata",0.0224993426190951,-0.179859251144505,0.223030996245928,0.82865979598096,"Mandarin duck"
"Hedgehog bocavirus","Aix.galericulata",-0.128505883327041,-0.321716603032141,0.0749790401543356,0.214571636157,"Mandarin duck"
"Hedgehog chapparvovirus 6","Aix.galericulata",-0.0832166784550642,-0.280062548989525,0.120344718496059,0.422697395156947,"Mandarin duck"
"Hedgehog dicipivirus 2","Aix.galericulata",-0.0666825733881534,-0.264668591318304,0.136697567437963,0.520839133011363,"Mandarin duck"
"Lucheng Rn rat coronavirus","Aix.galericulata",-0.0302060024437656,-0.230346702490941,0.172386459994191,0.771372168027384,"Mandarin duck"
"Lupine bocavirus isolate South Douro","Aix.galericulata",-0.0937863539489532,-0.289850609115252,0.109832708801645,0.365990275841801,"Mandarin duck"
"Marmot kobuvirus","Aix.galericulata",0.0668624460461505,-0.136520261030025,0.264836605094081,0.519712768018702,"Mandarin duck"
"Myocastor coypus polyomavirus 1","Aix.galericulata",-0.0570952137510786,-0.25569589173257,0.146129323659774,0.582609599592012,"Mandarin duck"
"Raccoon dog amdovirus","Aix.galericulata",-0.106687932802729,-0.301742803331878,0.0969394867565569,0.303460965308446,"Mandarin duck"
"Rodent papillomavirus","Aix.galericulata",-0.0663467795359955,-0.264354903959111,0.137028535639405,0.522945183433908,"Mandarin duck"
"Skunk adenovirus PB1","Aix.galericulata",-0.121556540284266,-0.315373258307796,0.0819952575946899,0.240611622952063,"Mandarin duck"
"SARS-CoV-2","Aix.galericulata",-0.0330383518947323,-0.233029695669348,0.169634189264587,0.750604900680677,"Mandarin duck"
"Human adenovirus type 1","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Human astrovirus","Harpadon.nehereus",NA,NA,NA,NA,"Bombay duck fish"
"Human herpesvirus 1","Harpadon.nehereus",-0.0548858158861252,-0.253623279288784,0.148297637355793,0.597306890771213,"Bombay duck fish"
"Human herpesvirus 4","Harpadon.nehereus",0.229631274542055,0.0294512906068364,0.412101964318198,0.025185668269134,"Bombay duck fish"
"Human orthopneumovirus B","Harpadon.nehereus",-0.0238681715264313,-0.224332037222264,0.178533664744117,0.818409497213427,"Bombay duck fish"
"Human papillomavirus 1","Harpadon.nehereus",-0.0238681715264313,-0.224332037222264,0.178533664744117,0.818409497213428,"Bombay duck fish"
