"virus","animal","cors","corsCI1","corsCI2","pval","commonName","bootCI1","bootCI2"
"SARS-CoV-2","Elopichthys.bambusa",0.191230045895644,0.0366744299880041,0.33685107711841,0.0157516215036321,"Yellowcheek carp",0,0.333211942950114
"Influenza A virus H3N2","Elopichthys.bambusa",-0.0108424756493712,-0.166209189994888,0.145049519228476,0.892102987165567,"Yellowcheek carp",-0.0237916456503971,0
"Bamboo rat coronavirus","Elopichthys.bambusa",0.033591293983339,-0.122697425303767,0.18825423635135,0.674232195219133,"Yellowcheek carp",-0.0869994654693218,0.164998150546471
"Raccoon dog amdovirus","Elopichthys.bambusa",-0.0794774043404381,-0.232251560389041,0.077123860608137,0.319327459173012,"Yellowcheek carp",-0.126922727961095,0
"Civet kobuvirus","Elopichthys.bambusa",-0.0390844480109588,-0.193554192444006,0.11727619743242,0.62474646467077,"Yellowcheek carp",-0.0624416305844415,0
"SARS-CoV-2","Aix.galericulata",0.0136269127503149,-0.14232216041559,0.168915852910095,0.864631892767964,"Mandarin duck",-0.0850074509884104,0.178096690305371
"Influenza A virus H3N2","Aix.galericulata",-0.0126871995751611,-0.168002649326133,0.143242875180751,0.873886634379808,"Mandarin duck",-0.0258522862352973,0
"Bamboo rat coronavirus","Aix.galericulata",0.092921664046504,-0.0636460578943306,0.245025076092994,0.24402909554703,"Mandarin duck",-0.0716507133768689,0.283074068856891
"Raccoon dog amdovirus","Aix.galericulata",-0.0350461511863253,-0.189658802746005,0.121262525108709,0.660978128789833,"Mandarin duck",-0.115193624652248,0.104553377670418
"Civet kobuvirus","Aix.galericulata",0.0606492461367397,-0.095903279027818,0.214273735674194,0.447599416760835,"Mandarin duck",-0.0560396011633511,0.288126624107782
"SARS-CoV-2","Harpadon.nehereus",0.284040636178795,0.134332274661475,0.421072188181594,0.000285204812599718,"Bombay duck fish",0.127836453203532,0.462334616661708
"Influenza A virus H3N2","Harpadon.nehereus",-0.0166482065746076,-0.171850109665512,0.139360119053834,0.835007247148736,"Bombay duck fish",-0.0333888564729781,0
"Bamboo rat coronavirus","Harpadon.nehereus",-0.0686591146580541,-0.221934597633565,0.0879277430773892,0.389820553320954,"Bombay duck fish",-0.129568514735621,0.0209182327823138
"Raccoon dog amdovirus","Harpadon.nehereus",-0.122034513911955,-0.272505660216492,0.0342635076645978,0.125426605590458,"Bombay duck fish",-0.167510511592823,-0.0688065428202998
