"virus","animal","cors","corsCI1","corsCI2","pval","commonName","bootCI1","bootCI2"
"SARS-CoV-2","Rattus.norvegicus",0.113041084787268,-0.295278741767615,0.486444443662875,0.590578036351499,NA,-0.137889266306684,0.383429741571741
"SARS-CoV-2","Erinaceus.amurensis",-0.08951338260171,-0.468088233055359,0.31682340255272,0.67046556210596,"Amur hedgehog",-0.24288607390456,0.0684676830237844
"SARS-CoV-2","Oryctolagus.cuniculus",-0.118741103995266,-0.490842516554999,0.289995903522584,0.571858655953607,"Rabbit",-0.375092462597712,0.24102478899375
"SARS-CoV-2","Canis.lupus",-0.243141423733383,-0.582326636488705,0.168143470422464,0.241540333130575,"Dog",-0.521249371098655,0.198713947480166
"SARS-CoV-2","Erinaceus.europaeus",0.0568313207248624,-0.346070880264534,0.442035943951042,0.787293542600788,NA,-0.102196320931437,0.394352591200623
"SARS-CoV-2","Monopterus.albus",-0.261397709903237,-0.595066395276793,0.149136999535179,0.206891632266757,"Swamp eel",-0.624967720264664,0.266890522916897
"SARS-CoV-2","Coturnix.japonica",-0.0416097982996434,-0.429676253573724,0.359430613116266,0.843449755103,"Japanese quail",-0.323838644490272,0.310530446846858
"SARS-CoV-2","Ictalurus.punctatus",-0.123394237122991,-0.49441881893299,0.285664784044237,0.55677555385263,"Channel catfish",-0.510247208554936,0.421039986326724
"SARS-CoV-2","Andrias.davidianus",-0.00321881276704934,-0.397843713059385,0.39241117508685,0.987816702816207,"Chinese giant salamander",-0.079686314695753,0.131621199007581
"SARS-CoV-2","Hemiechinus.auritus",NA,NA,NA,NA,"Long-eared hedgehog",0,0
"SARS-CoV-2","Bos.taurus",0.0498427841497471,-0.352224982805876,0.436379441134644,0.812965695165915,"Cattle",-0.326654568516162,0.577661177838723
"SARS-CoV-2","Ctenopharyngodon.idella",-0.352193243850582,-0.656029483574642,0.0498789278730691,0.0842341439379304,"Grass carp",-0.668503123431834,0.00417084812020098
"SARS-CoV-2","Naja.atra",-0.00976495269856088,-0.403339592053066,0.386858614707346,0.963050370427832,"Chinese cobra",-0.143950505217192,0.187661882784559
"SARS-CoV-2","Larimichthys.crocea",-0.0617703066706187,-0.446015154428222,0.341700600569767,0.769277899796967,"Large yellow croaker",-0.42604338130011,0.432753758911
"SARS-CoV-2","Sus.scrofa",-0.135719835451476,-0.503831700925726,0.274110832494219,0.517721843932666,"Wild boar",-0.445470745067522,0.311240614433852
"SARS-CoV-2","Homo.sapiens",0.304828046656037,-0.102669026268383,0.624714027427351,0.138437229665353,"Human",0.00400104862120729,0.641307056105018
"SARS-CoV-2","Nyctereutes.procyonoides",-0.161469470127506,-0.523218221333559,0.249585368723218,0.440650656376912,"Raccoon dog",-0.368964956600194,0.0460995141658829
"SARS-CoV-2","Micropterus.salmoides",0.181574721849683,-0.230062167253573,0.538099267329415,0.385040115852216,NA,-0.160538971370989,0.555756042861809
"SARS-CoV-2","Marmota.himalayana",NA,NA,NA,NA,"Himalayan marmot",0,0
"SARS-CoV-2","Channa.maculata",-0.51912624383741,-0.758642296006199,-0.155993086833892,0.00783335448156756,NA,-0.686266756810933,-0.177696692943784
"SARS-CoV-2","Mustela.sibirica",0.0560271336162755,-0.346780816787133,0.441386593180232,0.790237273257206,"Siberian weasel",-0.122214504740463,0.357534202764097
"SARS-CoV-2","Arctonyx.collaris",NA,NA,NA,NA,"Greater hog badger",0,0
"SARS-CoV-2","Rhizomys.pruinosus",-0.0636948038095896,-0.44756156919412,0.339992964822726,0.762288823776623,"Hoary bamboo rat",-0.223109076340412,0.108860766508421
"SARS-CoV-2","Anas.poecilorhyncha",-0.0902204433175455,-0.468644681784911,0.316181990833239,0.668007661509229,"Indian spot-billed duck",-0.402863408060027,0.342627929718501
"SARS-CoV-2","Vulpes.zerda",NA,NA,NA,NA,NA,0,0
"SARS-CoV-2","Amaurornis.akool",-0.363647698003872,-0.663448688535675,0.0367660584036015,0.073953392187122,NA,-0.615384105505067,0
"SARS-CoV-2","Ovis.orientalis",0.086126953497321,-0.319890265419196,0.465418983120174,0.682282844777785,"Sheep",-0.14322659240599,0.493918453562368
"SARS-CoV-2","Streptopelia.chinensis",-0.156286490680246,-0.519345899337017,0.254564700238868,0.45565007856297,NA,-0.392695482674785,0.173277366382827
"SARS-CoV-2","Urocyon.cinereoargenteus",-0.0738817400268992,-0.455709140830128,0.330909382558493,0.725605925627281,NA,-0.318828733084313,0.328846623545911
"SARS-CoV-2","Capra.aegagrus",-0.0254205990403607,-0.416369291387819,0.373461520579304,0.903996051392214,NA,-0.248231853086141,0.271835132965394
"SARS-CoV-2","Felis.margarita",-0.0633523289883363,-0.44728654402856,0.340297042806239,0.76353126304499,NA,-0.276603179058887,0.258432774633854
"SARS-CoV-2","Paguma.larvata",-0.0646270615224832,-0.448309853124267,0.339164800081696,0.758909657089848,"Masked palm civet",-0.370584726724557,0.335801457792213
"SARS-CoV-2","Rattus.tiomanicus",0.00977687721851742,-0.386848473791189,0.403349577563709,0.963005279372529,NA,-0.272982311620509,0.334009025783776
"SARS-CoV-2","Ptyas.mucosa",-0.0526875185249384,-0.438685654664289,0.349724099712435,0.802491433061094,"Dhaman",-0.270392197347214,0.29767659532839
"SARS-CoV-2","Columba.rupestris",-0.176253125406473,-0.534181960090906,0.235262148293332,0.399354277405313,NA,-0.417251680974659,0.106256008983755
"SARS-CoV-2","Otocyon.megalotis",NA,NA,NA,NA,"Bat-eared fox",0,0
"SARS-CoV-2","Muntiacus.putaoensis",0.0896241842448217,-0.316722913143375,0.468175452528006,0.670080172597964,NA,-0.10069980347003,0.396429793079467
"SARS-CoV-2","Gallus.gallus",-0.026456164047718,-0.417225533995876,0.372569444501531,0.900103872665406,"Chicken",-0.323987806748047,0.341514391516094
"SARS-CoV-2","Hystrix.brachyura",-0.0486654789242622,-0.435423516811102,0.353258306633301,0.817309770564783,"Malayan porcupine",-0.253036484096877,0.229623645863319
