"virus","animal","cors","corsCI1","corsCI2","pval","commonName"
"SARS-CoV-2","Rattus.norvegicus",-0.0188775562081238,-0.25273053213248,0.217059282983417,0.876733877309767,NA
"SARS-CoV-2","Erinaceus.amurensis",0.285161788235462,0.0537921419728093,0.487472421843053,0.0167209387163124,"Amur hedgehog"
"SARS-CoV-2","Oryctolagus.cuniculus",0.075583145746811,-0.162272854097804,0.305137895287014,0.534021976407408,"Rabbit"
"SARS-CoV-2","Canis.lupus",0.236928578576352,0.00206978617071685,0.447016282515311,0.0482896797938285,"Dog"
"SARS-CoV-2","Erinaceus.europaeus",0.298238372510792,0.0680319093414342,0.498292890552521,0.0121532210612646,NA
"SARS-CoV-2","Monopterus.albus",0.103526128181862,-0.134725212357685,0.330461363028515,0.393736512181796,"Swamp eel"
"SARS-CoV-2","Coturnix.japonica",0.024766095825279,-0.211438367984024,0.258237333956763,0.838737773811189,"Japanese quail"
"SARS-CoV-2","Ictalurus.punctatus",-0.0644706660087919,-0.294976114670374,0.173126030058651,0.595945424635695,"Channel catfish"
"SARS-CoV-2","Andrias.davidianus",0.211202356454866,-0.0250129863648787,0.425080861684343,0.0792446689015864,"Chinese giant salamander"
"SARS-CoV-2","Hemiechinus.auritus",-0.0156536038629759,-0.249709147776967,0.220130098186122,0.897660609303231,"Long-eared hedgehog"
"SARS-CoV-2","Bos.taurus",0.0387090289908929,-0.198066529817222,0.271216172442059,0.750370501759186,"Cattle"
"SARS-CoV-2","Ctenopharyngodon.idella",-0.0894159683612083,-0.317714668329206,0.148681924425171,0.461661425753729,"Grass carp"
"SARS-CoV-2","Naja.atra",0.152332072721471,-0.0857098543069923,0.373921903936823,0.20806093573965,"Chinese cobra"
"SARS-CoV-2","Larimichthys.crocea",0.253290170312032,0.0194752494713314,0.460836750822347,0.0343743416273482,"Large yellow croaker"
"SARS-CoV-2","Sus.scrofa",-0.000479372687445,-0.235426875841455,0.234521065462943,0.996857537579052,"Wild boar"
"SARS-CoV-2","Homo.sapiens",0.219106054801205,-0.0167292599476966,0.431846777287105,0.0683976082465411,"Human"
"SARS-CoV-2","Nyctereutes.procyonoides",-0.000554689302859414,-0.23549801672964,0.234449889995057,0.996363812870687,"Raccoon dog"
"SARS-CoV-2","Micropterus.salmoides",0.0130858627942631,-0.222572533313635,0.247299478674893,0.914378508752852,NA
"SARS-CoV-2","Marmota.himalayana",0.138350062755378,-0.0998706200048265,0.361569926759236,0.253379001101947,"Himalayan marmot"
"SARS-CoV-2","Channa.maculata",0.395563016747455,0.177044782277419,0.576914543388546,0.000700727463823488,NA
"SARS-CoV-2","Mustela.sibirica",0.0744134431927743,-0.163417978768093,0.30407071960402,0.540387475816242,"Siberian weasel"
"SARS-CoV-2","Arctonyx.collaris",-0.121519510296084,-0.346596830990731,0.116789304776465,0.316286333843219,"Greater hog badger"
"SARS-CoV-2","Rhizomys.pruinosus",0.0490032655252393,-0.188137059252811,0.280744654448196,0.687058029652834,"Hoary bamboo rat"
"SARS-CoV-2","Anas.poecilorhyncha",0.0476586821961319,-0.189436756886312,0.279502678521736,0.695217602230638,"Indian spot-billed duck"
"SARS-CoV-2","Vulpes.zerda",-0.0822426462554765,-0.311202711210333,0.15574105341245,0.498501279655764,NA
"SARS-CoV-2","Amaurornis.akool",-0.0577309823592968,-0.288787520138014,0.179680455191003,0.634992736752899,NA
"SARS-CoV-2","Ovis.orientalis",0.0318341297902287,-0.204670869586221,0.264827192810621,0.793619023082959,"Sheep"
"SARS-CoV-2","Streptopelia.chinensis",0.135733082572748,-0.102510379329738,0.359249297571769,0.262555677274033,NA
"SARS-CoV-2","Urocyon.cinereoargenteus",-0.038103574609491,-0.270654333257417,0.198649021305871,0.75415077691913,NA
"SARS-CoV-2","Capra.aegagrus",0.293849718734679,0.0632423981022588,0.494668350017564,0.0135480218279353,NA
"SARS-CoV-2","Felis.margarita",-0.094406124915045,-0.322232076666005,0.143756853133873,0.436937640527117,NA
"SARS-CoV-2","Paguma.larvata",-0.0761382601124316,-0.305644151066462,0.16172917957405,0.531014064799611,"Masked palm civet"
"SARS-CoV-2","Rattus.tiomanicus",0.0269360740559835,-0.209363064576638,0.260262820073558,0.824823289581895,NA
"SARS-CoV-2","Ptyas.mucosa",0.202122357719038,-0.0344897006592295,0.417278367861287,0.0933479679111592,"Dhaman"
"SARS-CoV-2","Columba.rupestris",-0.0542530553947217,-0.285586404834077,0.183054556488422,0.655547134205445,NA
"SARS-CoV-2","Otocyon.megalotis",-0.0574612707611189,-0.288539459799488,0.179942315108965,0.636577176106934,"Bat-eared fox"
"SARS-CoV-2","Muntiacus.putaoensis",0.129254739925805,-0.109030708567676,0.353492657212621,0.286228311284057,NA
"SARS-CoV-2","Gallus.gallus",0.121497602812236,-0.116811237209437,0.346577266229841,0.316374239050367,"Chicken"
"SARS-CoV-2","Hystrix.brachyura",0.36736953996143,0.144903961253862,0.554479607574306,0.00175722080237212,"Malayan porcupine"
