"Sample.ID","Lab.code","address","Sampling.date","prop.chordates","SARS2.reads"
"Env_0346","F46","West|2|24","2020-01-01",0.905081081081081,241
"Env_0398","F98","West|4|X4-X6","2020-01-01",0.766494845360825,330
"Env_0313","F13","West|11|15","2020-01-01",0.638576779026217,420581
"Env_0354","F54","West|2|14","2020-01-01",0.630582891748675,97675
"Env_0015","A15","West|4|26","2020-01-01",0.582389937106918,200
"Env_0018","A18","West|7|15-17","2020-01-01",0.442056074766355,226
"Env_0213","D32","West|15|15","2020-01-01",0.423490687219011,326
"Env_0138","B17","West|15|44","2020-01-01",0.322601143825461,406
"Env_0275","E61","East|6|1-3","2020-01-01",0.138947368421053,57
"Env_0063","A63","West|7|16-18","2020-01-01",0.13612746795982,65
"Env_0101","A101","West|4|19","2020-01-01",0.131707582011731,67
"Env_0221","E7","West|2|5","2020-01-01",0.122330943231787,126
"Env_0820","WWS-2#-2","West|13|SwO","2020-02-15",0.115755627009646,4
"Env_0583","Q68","West|6|29-31-33","2020-01-12",0.0719307733910222,6
"Env_0552","Q37","West|8|25","2020-01-12",0.0677756149354097,5
"Env_0087","A87","West|4|28","2020-01-01",0.0638484818900713,136
"Env_0719","8-25-M1","West|8|25","2020-02-03",0.0453074433656958,24
"Env_0088","A88","West|4|28","2020-01-01",0.0350754121360926,18
"Env_0002","A2","West|7|15-17","2020-01-01",0.0313429421185083,66
"Env_0020","A20","West|7|15-17","2020-01-01",0.0227272727272727,55
"Env_0579","Q64","West|6|29-31-33","2020-01-12",0.0218340611353712,5
"Env_0061","A61","West|7|20-22-24","2020-01-01",0.0185402356620316,334
"Env_0584","Q69","West|6|29-31-33","2020-01-12",0.0110146862483311,2
"Env_0096","A96","West|4|24","2020-01-01",0.0090702947845805,4
"Env_0055","A55","West|7|25","2020-01-01",0.00865734460162313,176
"Env_0400","F100","West|4|X4-X6","2020-01-01",0.00671140939597315,7202
"Env_0585","Q70","West|6|29-31-33","2020-01-12",0.00322268772155978,2
"Env_0090","A90","West|4|26","2020-01-01",0.00128241664291821,22
"Env_0126","B5","West|5|6-8","2020-01-01",0.0011609738635759,1460
"Env_0262","E48","East|9|22","2020-01-01",0.000549030373144571,10
"Env_0576","Q61","West|6|29-31-33","2020-01-12",0.000388953714507974,1
"Env_0014","A14","West|4|26","2020-01-01",0.000310451879958606,4
"Env_0033","A33","West|7|GC","2020-01-01",5.89605259278913e-05,35
"Env_0759","Outside-5","West|5|Sw3","2020-02-09",0.993657487802861,0
"Env_0751","WS-4-1","East|1|SwO","2020-02-05",0.975708502024291,0
"Env_0748","WS-2-3","West|13|SwO","2020-02-05",0.97408400357462,0
"Env_0842","C12","West|5|NA","2020-02-20",0.964285714285714,0
"Env_0749","WS-3-1","East|10|SwO","2020-02-05",0.961988304093567,0
"Env_0847","C17","West|6|34","2020-02-20",0.944444444444444,0
"Env_0746","WS-2-1","West|13|SwO","2020-02-05",0.888489208633094,0
"Env_0753","8-25-D1","West|8|25","2020-02-09",0.883360972913212,0
"Env_0546","HJ200031-20200112-1","West|8|25","2020-01-12",0.854791570527611,0
"Env_0619","10-31-abv2","West|10|31","2020-01-23",0.845541401273885,0
