"Sample.ID","Lab.code","address","Sampling.date","prop.chordates","SARS2.reads"
"Env_0576","Q61","West|6|29-31-33","2020-01-12",0.324419810709192,1
"Env_0579","Q64","West|6|29-31-33","2020-01-12",0.0692451653150343,5
"Env_0719","8-25-M1","West|8|25","2020-02-03",0.0129449838187702,24
"Env_0583","Q68","West|6|29-31-33","2020-01-12",0.0113574905354246,6
"Env_0584","Q69","West|6|29-31-33","2020-01-12",0.00767690253671562,2
"Env_0585","Q70","West|6|29-31-33","2020-01-12",0.00451176281018369,2
"Env_0087","A87","West|4|28","2020-01-01",0.00146441472224934,136
"Env_0552","Q37","West|8|25","2020-01-12",0.000884799150592815,5
"Env_0096","A96","West|4|24","2020-01-01",0.000125976316452507,4
"Env_0061","A61","West|7|20-22-24","2020-01-01",0.000111688166638745,334
"Env_0055","A55","West|7|25","2020-01-01",2.87619421980835e-05,176
"Env_0033","A33","West|7|GC","2020-01-01",2.21101972229592e-05,35
"Env_0002","A2","West|7|15-17","2020-01-01",0,66
"Env_0014","A14","West|4|26","2020-01-01",0,4
"Env_0015","A15","West|4|26","2020-01-01",0,200
"Env_0018","A18","West|7|15-17","2020-01-01",0,226
"Env_0020","A20","West|7|15-17","2020-01-01",0,55
"Env_0063","A63","West|7|16-18","2020-01-01",0,65
"Env_0088","A88","West|4|28","2020-01-01",0,18
"Env_0090","A90","West|4|26","2020-01-01",0,22
"Env_0101","A101","West|4|19","2020-01-01",0,67
"Env_0126","B5","West|5|6-8","2020-01-01",0,1460
"Env_0138","B17","West|15|44","2020-01-01",0,406
"Env_0213","D32","West|15|15","2020-01-01",0,326
"Env_0221","E7","West|2|5","2020-01-01",0,126
"Env_0262","E48","East|9|22","2020-01-01",0,10
"Env_0275","E61","East|6|1-3","2020-01-01",0,57
"Env_0313","F13","West|11|15","2020-01-01",0,420581
"Env_0346","F46","West|2|24","2020-01-01",0,241
"Env_0354","F54","West|2|14","2020-01-01",0,97675
"Env_0398","F98","West|4|X4-X6","2020-01-01",0,330
"Env_0400","F100","West|4|X4-X6","2020-01-01",0,7202
"Env_0820","WWS-2#-2","West|13|SwO","2020-02-15",0,4
"Env_0563","HJ200048-20200112-1","West|8|36-38","2020-01-12",0.798180121325245,0
"Env_0565","HJ200050-20200112-1","West|8|36-38","2020-01-12",0.694750771945302,0
"Env_0532","HJ200017-20200112-1","West|9|38","2020-01-12",0.614754098360656,0
"Env_0538","HJ200023-20200112-1","West|9|35-37","2020-01-12",0.576286764705882,0
"Env_0526","HJ200011-20200112-1","West|9|38","2020-01-12",0.409948542024014,0
"Env_0527","HJ200012-20200112-1","West|9|38","2020-01-12",0.389060568603214,0
"Env_0534","HJ200019-20200112-1","West|9|38","2020-01-12",0.299581839904421,0
"Env_0521","HJ200006-20200112-1","West|9|34-36","2020-01-12",0.293400130690481,0
"Env_0516","HJ200001-20200112-1","West|9|34-36","2020-01-12",0.275933609958506,0
"Env_0533","HJ200018-20200112-1","West|9|38","2020-01-12",0.25830258302583,0
"Env_0559","HJ200044-20200112-1","West|8|36-38","2020-01-12",0.252681764004768,0
