address,keep,Virus_full_name,Virus_simpler_name,Virus_shorter,Host_general,read_count,Reference,Sample.ID,Lab.code,nDetect,viral_length,covered_bases,Sampling.date
West|6|29,1,"AC_000017.1 Human adenovirus type 1, complete genome",Human adenovirus type 1,Human adenovirus type 1,Human,63,AC_000017.1,Env_0620,06-29-abv1,1,36001,630,2020-01-23
West|10|31,1,"AC_000017.1 Human adenovirus type 1, complete genome",Human adenovirus type 1,Human adenovirus type 1,Human,5,AC_000017.1,Env_0619,10-31-abv2,1,36001,253,2020-01-23
West|10|31,1,"AC_000017.1 Human adenovirus type 1, complete genome",Human adenovirus type 1,Human adenovirus type 1,Human,14,AC_000017.1,Env_0617,10-31-In2,1,36001,292,2020-01-23
NA,1,"NC_001943.1 Human astrovirus, complete genome",Human astrovirus,Human astrovirus,Human,1,NC_001943.1,Env_0788,CSSQ-1-1,1,6813,93,2020-02-09
NA,1,"NC_001943.1 Human astrovirus, complete genome",Human astrovirus,Human astrovirus,Human,35,NC_001943.1,Env_0790,CSSQ-1-3,1,6813,786,2020-02-09
NA,1,"NC_001943.1 Human astrovirus, complete genome",Human astrovirus,Human astrovirus,Human,2,NC_001943.1,Env_0800,HXJC4-1-1,1,6813,93,2020-02-09
NA,1,"NC_001943.1 Human astrovirus, complete genome",Human astrovirus,Human astrovirus,Human,21,NC_001943.1,Env_0802,HXJC4-1-3,1,6813,1037,2020-02-09
West|1|SwO,1,"NC_001943.1 Human astrovirus, complete genome",Human astrovirus,Human astrovirus,Human,1,NC_001943.1,Env_0817,WWS-1#-2,1,6813,186,2020-02-15
West|13|SwO,1,"NC_001943.1 Human astrovirus, complete genome",Human astrovirus,Human astrovirus,Human,1,NC_001943.1,Env_0820,WWS-2#-2,1,6813,93,2020-02-15
West|6|29,1,"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",Human herpesvirus 1,Human herpesvirus 1,Human,1031,NC_001806.2,Env_0620,06-29-abv1,1,152222,6917,2020-01-23
West|10|31,1,"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",Human herpesvirus 1,Human herpesvirus 1,Human,589,NC_001806.2,Env_0619,10-31-abv2,1,152222,30800,2020-01-23
West|10|31,1,"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",Human herpesvirus 1,Human herpesvirus 1,Human,134,NC_001806.2,Env_0617,10-31-In2,1,152222,2714,2020-01-23
West|15|44,1,"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",Human herpesvirus 1,Human herpesvirus 1,Human,3,NC_001806.2,Env_0138,B17,1,152222,437,2020-01-01
West|9|34-36,1,"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",Human herpesvirus 1,Human herpesvirus 1,Human,1,NC_001806.2,Env_0525,HJ200010-20200112-1,1,152222,43,2020-01-12
West|9|38,1,"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",Human herpesvirus 1,Human herpesvirus 1,Human,4,NC_001806.2,Env_0535,HJ200020-20200112-1,1,152222,86,2020-01-12
West|8|36-38,1,"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",Human herpesvirus 1,Human herpesvirus 1,Human,1,NC_001806.2,Env_0557,HJ200042-20200112-1,1,152222,43,2020-01-12
West|8|25,1,"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",Human herpesvirus 1,Human herpesvirus 1,Human,1,NC_001806.2,Env_0552,Q37,1,152222,43,2020-01-12
West|6|29-31-33,1,"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",Human herpesvirus 1,Human herpesvirus 1,Human,1,NC_001806.2,Env_0579,Q64,1,152222,43,2020-01-12
West|1|SwO,1,"NC_001806.2 Human herpesvirus 1 strain 17, complete genome",Human herpesvirus 1,Human herpesvirus 1,Human,1,NC_001806.2,Env_0818,WWS-1#-3,1,152222,43,2020-02-15
West|15|15,1,"NC_009334.1 Human herpesvirus 4, complete genome",Human herpesvirus 4,Human herpesvirus 4,Human,17,NC_009334.1,Env_0213,D32,1,172764,186,2020-01-01
West|2|5,1,"NC_009334.1 Human herpesvirus 4, complete genome",Human herpesvirus 4,Human herpesvirus 4,Human,35,NC_009334.1,Env_0221,E7,1,172764,1319,2020-01-01
